,0
0,2530
1,14998
2,23625
3,24160
4,31737
5,38337
6,39043
7,39403
8,40058
9,40798
10,43852
11,46532
12,49561
13,49562
14,49568
15,49577
16,49585
17,49598
18,49610
19,49622
20,49631
21,49641
22,49653
23,49659
24,49661
25,49678
26,49683
27,49687
28,49704
29,49719
30,49729
31,49735
32,49745
33,49776
34,49808
35,49829
36,49832
37,49839
38,49842
39,49853
40,49854
41,49873
42,49876
43,49896
44,49930
45,49946
46,49952
47,49959
48,49960
49,49963
50,49968
51,49969
52,49970
53,49974
54,49978
55,49979
56,49980
57,49983
58,49986
59,49987
60,49988
61,49990
62,49993
63,49995
64,49998
65,49999
66,50001
67,50004
68,50005
69,50006
70,50007
71,50008
72,50009
73,50012
74,50014
75,50015
76,50017
77,50018
78,50023
79,50026
80,50027
81,50029
82,50032
83,50034
84,50037
85,50043
86,50047
87,50048
88,50049
89,50053
90,50057
91,50061
92,50066
93,50067
94,50070
95,50072
96,50074
97,50075
98,50076
99,50077
100,50078
101,50079
102,50080
103,50085
104,50086
105,50089
106,50092
107,50094
108,50096
109,50100
110,50103
111,50104
112,50105
113,50109
114,50111
115,50113
116,50117
117,50119
118,50121
119,50122
120,50125
121,50126
122,50128
123,50133
124,50137
125,50141
126,50142
127,50143
128,50145
129,50146
130,50151
131,50153
132,50155
133,50160
134,50164
135,50165
136,50166
137,50168
138,50174
139,50204
140,50206
141,50207
142,50210
143,50213
144,50214
145,50216
146,50218
147,50219
148,50222
149,50225
150,50228
151,50230
152,50231
153,50239
154,50241
155,50244
156,50247
157,50249
158,50250
159,50251
160,50254
161,50255
162,50261
163,50263
164,50264
165,50271
166,50272
167,50273
168,50275
169,50276
170,50278
171,50281
172,50284
173,50291
174,50295
175,50296
176,50297
177,50298
178,50299
179,50303
180,50306
181,50311
182,50312
183,50314
184,50316
185,50317
186,50318
187,50321
188,50323
189,50325
190,50327
191,50334
192,50335
193,50336
194,50337
195,50339
196,50341
197,50342
198,50343
199,50345
200,50348
201,50349
202,50350
203,50352
204,50354
205,50359
206,50375
207,50379
208,50384
209,50385
210,50386
211,50388
212,50391
213,50393
214,50619
215,50620
216,50621
217,50624
218,50628
219,50631
220,50635
221,50639
222,50641
223,50643
224,50644
225,50645
226,50646
227,50647
228,50649
229,50652
230,50654
231,50655
232,50657
233,50658
234,50659
235,50661
236,50664
237,50665
238,50667
239,50668
240,50669
241,50671
242,50673
243,50677
244,50678
245,50680
246,50685
247,50687
248,50688
249,50689
250,50690
251,50691
252,50693
253,50699
254,50704
255,50707
256,50708
257,50713
258,50715
259,50720
260,50721
261,50722
262,50723
263,50725
264,50727
265,50729
266,50731
267,50732
268,50737
269,50738
270,50739
271,50740
272,50742
273,50743
274,50747
275,50748
276,50749
277,50751
278,50752
279,50753
280,50754
281,50756
282,50758
283,50762
284,50763
285,50766
286,50768
287,50770
288,50771
289,50772
290,50773
291,50774
292,50776
293,50782
294,50784
295,50787
296,50788
297,50789
298,50793
299,50796
300,50797
301,50798
302,50800
303,50802
304,50803
305,50805
306,50807
307,50812
308,50815
309,50818
310,50819
311,50820
312,50822
313,50826
314,50829
315,51331
316,59536
317,61610
318,63456
319,63581
320,64715
321,68182
322,68186
323,68213
324,68219
325,68222
326,68260
327,68269
328,68292
329,68316
330,68318
331,68327
332,68359
333,68368
334,68377
335,68394
336,68395
337,68404
338,68406
339,68407
340,68412
341,68413
342,68419
343,68427
344,68431
345,68436
346,68449
347,68460
348,68465
349,68470
350,68477
351,68478
352,68482
353,68484
354,68498
355,68504
356,68532
357,68545
358,68624
359,68632
360,68646
361,68659
362,68660
363,68682
364,68698
365,68702
366,68705
367,68711
368,68737
369,68738
370,68741
371,68752
372,68755
373,68756
374,68757
375,68827
376,68849
377,68857
378,68861
379,68886
380,68887
381,68888
382,68895
383,68901
384,68908
385,68909
386,68952
387,69066
388,69095
389,69106
390,69112
391,69125
392,69129
393,69141
394,69144
395,69152
396,69159
397,69161
398,69174
399,69176
400,69188
401,70280
402,73316
403,74417
404,74420
405,75440
406,78592
407,80348
408,81035
409,81297
410,81501
411,81638
412,82275
413,84687
414,84688
415,84689
416,84696
417,84697
418,84699
419,84704
420,84706
421,84708
422,84709
423,84710
424,84711
425,84713
426,84716
427,84721
428,84724
429,84725
430,84727
431,84731
432,84733
433,84734
434,84735
435,84738
436,84740
437,84742
438,84743
439,84749
440,84750
441,84753
442,84754
443,84758
444,84760
445,84761
446,84762
447,84764
448,84768
449,84769
450,84775
451,84776
452,84778
453,84779
454,84780
455,84784
456,84785
457,84790
458,84793
459,84796
460,84798
461,84799
462,84803
463,84804
464,84805
465,84807
466,84808
467,84809
468,84813
469,84814
470,84815
471,84822
472,84823
473,84824
474,84826
475,84829
476,84831
477,84835
478,84838
479,84839
480,84851
481,84852
482,84855
483,84856
484,84859
485,84861
486,84866
487,84868
488,84870
489,84874
490,84876
491,84877
492,84878
493,84879
494,84881
495,84883
496,84884
497,84887
498,84890
499,84893
500,84894
501,84912
502,84917
503,84918
504,84920
505,84921
506,84922
507,84923
508,84928
509,84930
510,84931
511,84933
512,84935
513,84936
514,84939
515,84942
516,84945
517,84946
518,84947
519,84952
520,84957
521,84960
522,84961
523,84962
524,84965
525,84966
526,84969
527,84970
528,84971
529,84973
530,84974
531,84976
532,84977
533,84978
534,84982
535,84985
536,84986
537,84987
538,84990
539,84991
540,84992
541,84993
542,84994
543,84996
544,85000
545,85010
546,85011
547,85012
548,85018
549,85019
550,85020
551,85023
552,85026
553,85027
554,85028
555,85029
556,85033
557,85034
558,85035
559,85038
560,85044
561,85046
562,85048
563,85052
564,85053
565,85062
566,85063
567,85064
568,85066
569,85075
570,85076
571,85077
572,85084
573,85086
574,85090
575,85091
576,85093
577,85094
578,85096
579,85099
580,85100
581,85102
582,85103
583,85105
584,85109
585,85112
586,85113
587,85114
588,85115
589,85116
590,85118
591,85121
592,85122
593,85123
594,85124
595,85127
596,85128
597,85131
598,85134
599,85136
600,85139
601,85140
602,85143
603,85144
604,85147
605,85148
606,85150
607,85151
608,85152
609,85153
610,85154
611,85157
612,85159
613,85161
614,85162
615,85163
616,85164
617,85166
618,85167
619,85168
620,85174
621,85175
622,85176
623,85180
624,85181
625,85184
626,85186
627,85192
628,85197
629,85210
630,85212
631,85213
632,85214
633,85216
634,85217
635,85222
636,85225
637,85226
638,85230
639,85234
640,85235
641,85236
642,85239
643,85240
644,85241
645,85242
646,85244
647,85245
648,85246
649,85247
650,85249
651,85250
652,85252
653,85253
654,85258
655,85262
656,85264
657,85265
658,85270
659,85277
660,85278
661,85279
662,85282
663,85285
664,85286
665,85287
666,85288
667,85293
668,85296
669,85299
670,85301
671,85305
672,85308
673,85312
674,85313
675,85315
676,85316
677,85317
678,85321
679,85323
680,85326
681,85327
682,85328
683,85329
684,85331
685,85332
686,85334
687,85335
688,85336
689,85337
690,85338
691,85340
692,85341
693,85345
694,85349
