,0
0,9979
1,13918
2,14241
3,29045
4,33151
5,36327
6,40840
7,44514
8,45843
9,46065
10,46579
11,46778
12,47002
13,49572
14,49574
15,49595
16,49627
17,49628
18,49630
19,49691
20,49712
21,49748
22,49751
23,49754
24,49821
25,49823
26,49824
27,49838
28,49850
29,49897
30,49900
31,49931
32,49966
33,49989
34,49994
35,50054
36,50056
37,50099
38,50115
39,50118
40,50127
41,50129
42,50136
43,50138
44,50149
45,50150
46,50159
47,50161
48,50209
49,50220
50,50221
51,50229
52,50233
53,50238
54,50256
55,50258
56,50260
57,50277
58,50280
59,50285
60,50289
61,50319
62,50326
63,50331
64,50332
65,50629
66,50656
67,50676
68,50734
69,50735
70,50736
71,50744
72,50746
73,50757
74,50781
75,50790
76,51064
77,55945
78,57700
79,57706
80,61117
81,64256
82,68194
83,68204
84,68255
85,68279
86,68303
87,68306
88,68337
89,68363
90,68374
91,68379
92,68423
93,68425
94,68432
95,68435
96,68444
97,68456
98,68487
99,68560
100,68567
101,68582
102,68708
103,68740
104,68874
105,69068
106,69079
107,69093
108,69096
109,69120
110,69147
111,69155
112,72283
113,73497
114,76240
115,77373
116,78280
117,83094
118,84690
119,84692
120,84693
121,84695
122,84702
123,84714
124,84718
125,84730
126,84732
127,84751
128,84786
129,84802
130,84834
131,84840
132,84853
133,84854
134,84857
135,84863
136,84864
137,84865
138,84882
139,84885
140,84896
141,84937
142,84949
143,85002
144,85004
145,85024
146,85030
147,85031
148,85036
149,85037
150,85042
151,85055
152,85057
153,85069
154,85079
155,85080
156,85087
157,85108
158,85110
159,85119
160,85132
161,85133
162,85135
163,85145
164,85165
165,85169
166,85172
167,85198
168,85199
169,85207
170,85219
171,85243
172,85259
173,85261
174,85269
175,85276
176,85306
177,85339
178,85343
